ubiquitous	[adjective] Being everywhere at once: omnipresent. (e.g. To Hindus, Jews, Christians, and Muslims, God is ubiquitous.) ; [adjective] Appearing to be everywhere at once; being or seeming to be in more than one location at the same time. ; [adjective] Widespread; very prevalent.	无处不在的
ubiquitous	[adjective] Being everywhere at once: omnipresent. (e.g. To Hindus, Jews, Christians, and Muslims, God is ubiquitous.) ; [adjective] Appearing to be everywhere at once; being or seeming to be in more than one location at the same time. ; [adjective] Widespread; very prevalent.	无处不在的
ubiquitous	[adjective] Being everywhere at once: omnipresent. (e.g. To Hindus, Jews, Christians, and Muslims, God is ubiquitous.) ; [adjective] Appearing to be everywhere at once; being or seeming to be in more than one location at the same time. ; [adjective] Widespread; very prevalent.	无处不在的
wonder	[noun] Something that causes amazement or awe; a marvel. (e.g. Wonders of the World seem to come in sevens.) ; [noun] Something astonishing and seemingly inexplicable. (e.g. The idea was so crazy that it is a wonder that anyone went along with it.) ; [noun] Someone very talented at something, a genius. (e.g. He's a wonder at cooking.) ; [noun] The sense or emotion which can be inspired by something curious or unknown; surprise; astonishment, often with awe or reverence. ; [noun] A mental pondering, a thought. ; [noun] A kind of donut; a cruller. ; [verb] To be affected with surprise or admiration; to be struck with astonishment; to be amazed; to marvel; often followed by at. ; [verb] To ponder; to feel doubt and curiosity; to query in the mind. (e.g. He wondered whether penguins could fly. She had wondered this herself sometimes.)	想知道
girl	[noun] A female child, adolescent, or a young woman. ; [noun] A young female animal. ; [noun] (sometimes offensive) A woman, especially a young woman ; [noun] A female servant; a maid. (see usage notes) ; [noun] A queen (the playing card.) ; [noun] A term of endearment. (see usage notes) ; [noun] One's girlfriend. ; [noun] One's daughter. (e.g. Your girl turned up on our doorstep.) ; [noun] A roebuck two years old. ; [noun] Cocaine, especially in powder form. ; [noun] (somewhat childish) A female (tree, gene, etc). ; [noun] A boy or man who is weak or sentimental. (e.g. Don't be such a girl!) ; [verb] To feminize or girlify; to gender as a girl or as for girls. ; [verb] (somewhat informal) To staff with or as a girl or girls.	女孩
replacement	[noun] A person or thing that takes the place of another; a substitute. ; [noun] The act of replacing something. (e.g. The replacement of that broken light-bulb will have to wait until I can buy a new one.) ; [noun] The removal of an edge of crystal, by one plane or more.	替代品
script	[noun] A writing; a written document. ; [noun] Written characters; style of writing. ; [noun] Type made in imitation of handwriting. ; [noun] An original instrument or document. ; [noun] The written document containing the dialogue and action for a drama; the text of a stage play, movie, or other performance. Especially, the final form used for the performance itself. ; [noun] A file containing a list of user commands, allowing them to be invoked once to execute in sequence. ; [noun] A system of writing adapted to a particular language or set of languages. ; [noun] Short for prescription. ; [verb] To make or write a script.	脚本
sentimental	[adjective] Characterized by sentiment, sentimentality or excess emotion. ; [adjective] Derived from emotion rather than reason; of or caused by sentiment. ; [adjective] Romantic.	多愁善感的
adapt	[verb] To make suitable; to make to correspond; to fit or suit ; [verb] To fit by alteration; to modify or remodel for a different purpose; to adjust (e.g. to adapt a story for the stage) ; [verb] To make by altering or fitting something else; to produce by change of form or character (e.g. a word of an adapted form) ; [verb] To make oneself comfortable to a new thing. (e.g. They could not adapt to the new climate and so perished.) ; [adjective] Adapted; fit; suited; suitable.	适应
roebuk	(dictapi HTTP 404)	獐鹿
astonishment	[noun] The feeling or experience of being astonished; great surprise. (e.g. The class looked on in astonishment as their teacher proceeded to tear the pages out of the textbook.) ; [noun] Something very surprising. ; [noun] Loss of physical sensation; inability to move a part of the body. ; [noun] Loss of mental faculties, inability to think or use one's senses. ; [noun] Loss of composure or presence of mind.	惊讶
suitable	[adjective] Having sufficient or the required properties for a certain purpose or task; appropriate to a certain occasion.	合适的
especially	[adverb] (manner) In a special manner; specially. ; [adverb] (focus) Particularly; to a greater extent than is normal. ; [adverb] (focus) Used to place greater emphasis upon someone or something. (e.g. Invite them all, especially Molly.)	尤其
objects	(dictapi error: <urlopen error [Errno -3] Temporary failure in name resolution>)	
documents	(dictapi error: <urlopen error [Errno -3] Temporary failure in name resolution>)	
keep tuned	(dictapi HTTP 404)	敬请关注
keep tuned	(dictapi HTTP 404)	敬请关注
I do not know the meaning	(dictapi HTTP 404)	我不知道什么意思
sneze	(dictapi HTTP 404)	打喷嚏
sista	(dictapi HTTP 404)	西斯塔
script	[noun] A writing; a written document. ; [noun] Written characters; style of writing. ; [noun] Type made in imitation of handwriting. ; [noun] An original instrument or document. ; [noun] The written document containing the dialogue and action for a drama; the text of a stage play, movie, or other performance. Especially, the final form used for the performance itself. ; [noun] A file containing a list of user commands, allowing them to be invoked once to execute in sequence. ; [noun] A system of writing adapted to a particular language or set of languages. ; [noun] Short for prescription. ; [verb] To make or write a script.	脚本

wonderful	[adjective] Tending to excite wonder; surprising, extraordinary. ; [adjective] Surprisingly excellent; very good or admirable, extremely impressive. (e.g. They served a wonderful six-course meal.) ; [adverb] Exceedingly, to a great extent.	
