en hund	a dog	一只狗
först	first	第一的
samtidigt	at the same time	同时
kan rädda hennes liv	can save her life	可以救她的命
can save her life	(dictapi HTTP 404)	可以救她的命
ubiquitous	[adjective] Being everywhere at once: omnipresent. (e.g. To Hindus, Jews, Christians, and Muslims, God is ubiquitous.) ; [adjective] Appearing to be everywhere at once; being or seeming to be in more than one location at the same time. ; [adjective] Widespread; very prevalent.	无处不在的
ubiquitous	[adjective] Being everywhere at once: omnipresent. (e.g. To Hindus, Jews, Christians, and Muslims, God is ubiquitous.) ; [adjective] Appearing to be everywhere at once; being or seeming to be in more than one location at the same time. ; [adjective] Widespread; very prevalent.	无处不在的
dare	[noun] A challenge to prove courage. ; [noun] The quality of daring; venturesomeness; boldness. ; [noun] Defiance; challenge. ; [verb] To have enough courage (to do something). (e.g. I wouldn't dare argue with my boss.) ; [verb] To defy or challenge (someone to do something) (e.g. I dare you (to) kiss that girl.) ; [verb] To have enough courage to meet or do something, go somewhere, etc.; to face up to (e.g. Will you dare death to reach your goal?) ; [verb] To terrify; to daunt. ; [verb] To catch (larks) by producing terror through the use of mirrors, scarlet cloth, a hawk, etc., so that they lie still till a net is thrown over them.	敢
dare	[noun] A challenge to prove courage. ; [noun] The quality of daring; venturesomeness; boldness. ; [noun] Defiance; challenge. ; [verb] To have enough courage (to do something). (e.g. I wouldn't dare argue with my boss.) ; [verb] To defy or challenge (someone to do something) (e.g. I dare you (to) kiss that girl.) ; [verb] To have enough courage to meet or do something, go somewhere, etc.; to face up to (e.g. Will you dare death to reach your goal?) ; [verb] To terrify; to daunt. ; [verb] To catch (larks) by producing terror through the use of mirrors, scarlet cloth, a hawk, etc., so that they lie still till a net is thrown over them.	敢
gud	God	上帝
barn	children	孩子们
återberättat		复述
bänder	ribbons	丝带
länge	long	长的
rädda	save	节省
köcker	kitchens	厨房
böker	barks	吠叫
böcker	books	图书
böcker	books	图书
skriv	write	写
detalj	detail	细节
detalj	[1mdetail[22m	细节
teknik	[1mtechnique[22m	技术
eller	[1mor[22m	或者
eller	[word] or (e.g. Kaffe eller te?)	或者
skriva	[word] write (e.g. Här är skriva i en mening)	写
försvunnen	[word] missing (e.g. Här är försvunnen i en mening)	丢失的
försvunnen	[word] missing (e.g. Här är försvunnen i en mening)	丢失的
försvunnen	[word] missing (e.g. Här är försvunnen i en mening)	丢失的
försvunnen	[Adjective] missing, lost ; [Participle] past participle of försvinna	丢失的
svärd	[Noun] a sword (e.g. Riddaren drog sitt svärd)	剑
sverige		
svenska		
söder		
svenska	Swedish	瑞典
faktaböcker	fact books	事实书
barn	children	孩子们
bra	Good	好的
bra	Good	好的
bra	Good	好的
trovärdig	[Adjective] credible, trustworthy (e.g. en trovärdig källa)	可信的
trovärdig	[Adjective] credible, trustworthy (e.g. en trovärdig källa)	可信的
trovärdig	[Adjective] credible, trustworthy (e.g. en trovärdig källa)	可信的
trovärdig	[Adjective] credible, trustworthy (e.g. en trovärdig källa)	可信的
kvalitativ nyhetskälla	[word] qualitative news source (e.g. Jag använder 'kvalitativ nyhetskälla' i svenska (I use 'kvalitativ nyhetskälla' in Swedish))	定性新闻来源
kvalitativ	[word] qualitative (e.g. Jag använder 'kvalitativ' i svenska (I use 'kvalitativ' in Swedish))	定性的
hus	[word] hus (e.g. Jag lär mig svenska ord som 'hus')	房子
solig	[word] solig (e.g. Jag lär mig svenska ord som 'solig')	阳光明媚
en solig dag	[word] en solig dag (e.g. Jag lär mig svenska ord som 'en solig dag')	一个阳光明媚的日子
ledsen	[Adjective] sad (e.g. Hans kanin hade just dött, och han var ledsen och grät)	对不起
kompisar	[Noun] indefinite plural of kompis	朋友们
katastrof	[Noun] catastrophe (any large and disastrous event of great significance)	灾难
förvånar	[Verb] present indicative of förvåna	奇怪
tände	[Adjective] definite natural masculine singular of tänd ; [Verb] past indicative of tända	点亮
